Serial_number:
1046280
Project ID:
Pearson/Dodde_Dale
Location:
OW1
LEVEL
UNIT: ft
Offset: 0.000000 ft
Altitude: 1175.000000 ft
Density: 1.000000 kg/L
TEMPERATURE
UNIT: Deg C
Date,Time,ms,LEVEL,TEMPERATURE
2016/07/26,12:00:00,0,23.4343,8.382
2016/07/26,12:01:00,0,23.4388,8.382
2016/07/26,12:02:00,0,23.4351,8.382
2016/07/26,12:03:00,0,23.4385,8.382
2016/07/26,12:04:00,0,23.4353,8.382
2016/07/26,12:05:00,0,23.4383,8.383
2016/07/26,12:06:00,0,23.4351,8.382
2016/07/26,12:07:00,0,23.4358,8.383
2016/07/26,12:08:00,0,23.4351,8.383
2016/07/26,12:09:00,0,23.4372,8.382
2016/07/26,12:10:00,0,23.4368,8.383
2016/07/26,12:11:00,0,23.4350,8.382
2016/07/26,12:12:00,0,23.4360,8.383
2016/07/26,12:13:00,0,23.4372,8.383
2016/07/26,12:14:00,0,23.4370,8.382
2016/07/26,12:15:00,0,23.4354,8.383
2016/07/26,12:16:00,0,23.4355,8.383
2016/07/26,12:17:00,0,23.4332,8.383
2016/07/26,12:18:00,0,23.4352,8.383
2016/07/26,12:19:00,0,23.4345,8.383
2016/07/26,12:20:00,0,23.4350,8.384
2016/07/26,12:21:00,0,23.4375,8.384
2016/07/26,12:22:00,0,23.4340,8.383
2016/07/26,12:23:00,0,23.4354,8.383
2016/07/26,12:24:00,0,23.4369,8.382
2016/07/26,12:25:00,0,23.4349,8.383
2016/07/26,12:26:00,0,23.4332,8.382
2016/07/26,12:27:00,0,23.4379,8.383
2016/07/26,12:28:00,0,23.4383,8.383
2016/07/26,12:29:00,0,23.4349,8.383
2016/07/26,12:30:00,0,23.4369,8.383
2016/07/26,12:31:00,0,23.4379,8.383
2016/07/26,12:32:00,0,23.4345,8.383
2016/07/26,12:33:00,0,23.4364,8.382
2016/07/26,12:34:00,0,23.4326,8.383
2016/07/26,12:35:00,0,23.4347,8.383
2016/07/26,12:36:00,0,23.4343,8.383
2016/07/26,12:37:00,0,23.4354,8.382
2016/07/26,12:38:00,0,23.4316,8.382
2016/07/26,12:39:00,0,23.4357,8.382
2016/07/26,12:40:00,0,23.4317,8.382
2016/07/26,12:41:00,0,23.4333,8.383
2016/07/26,12:42:00,0,23.4315,8.382
2016/07/26,12:43:00,0,23.4334,8.382
2016/07/26,12:44:00,0,23.4299,8.382
2016/07/26,12:45:00,0,23.4354,8.381
2016/07/26,12:46:00,0,23.4303,8.381
2016/07/26,12:47:00,0,23.4323,8.380
2016/07/26,12:48:00,0,23.4301,8.380
2016/07/26,12:49:00,0,23.4333,8.379
2016/07/26,12:50:00,0,23.4302,8.377
2016/07/26,12:51:00,0,23.4301,8.377
2016/07/26,12:52:00,0,23.4314,8.375
2016/07/26,12:53:00,0,23.4330,8.374
2016/07/26,12:54:00,0,23.4261,8.372
2016/07/26,12:55:00,0,23.4303,8.372
2016/07/26,12:56:00,0,23.4299,8.370
2016/07/26,12:57:00,0,23.4288,8.368
2016/07/26,12:58:00,0,23.4275,8.366
2016/07/26,12:59:00,0,23.4288,8.365
2016/07/26,13:00:00,0,23.4267,8.363
2016/07/26,13:01:00,0,23.4271,8.362
2016/07/26,13:02:00,0,23.4256,8.360
2016/07/26,13:03:00,0,23.4282,8.359
2016/07/26,13:04:00,0,23.4254,8.359
2016/07/26,13:05:00,0,23.4262,8.358
2016/07/26,13:06:00,0,23.4226,8.357
2016/07/26,13:07:00,0,23.4280,8.357
2016/07/26,13:08:00,0,23.4258,8.356
2016/07/26,13:09:00,0,23.4258,8.355
2016/07/26,13:10:00,0,23.4258,8.355
2016/07/26,13:11:00,0,23.4226,8.354
2016/07/26,13:12:00,0,23.4251,8.354
2016/07/26,13:13:00,0,23.4216,8.353
2016/07/26,13:14:00,0,23.4231,8.353
2016/07/26,13:15:00,0,23.4241,8.352
2016/07/26,13:16:00,0,23.4263,8.351
2016/07/26,13:17:00,0,23.4243,8.351
2016/07/26,13:18:00,0,23.4239,8.351
2016/07/26,13:19:00,0,23.4245,8.350
2016/07/26,13:20:00,0,23.4230,8.350
2016/07/26,13:21:00,0,23.4237,8.349
2016/07/26,13:22:00,0,23.4241,8.348
2016/07/26,13:23:00,0,23.4262,8.347
2016/07/26,13:24:00,0,23.4235,8.347
2016/07/26,13:25:00,0,23.4250,8.346
2016/07/26,13:26:00,0,23.4251,8.346
2016/07/26,13:27:00,0,23.4232,8.345
2016/07/26,13:28:00,0,23.4214,8.345
2016/07/26,13:29:00,0,23.4194,8.345
2016/07/26,13:30:00,0,23.4226,8.345
2016/07/26,13:31:00,0,23.4195,8.346
2016/07/26,13:32:00,0,23.4230,8.344
2016/07/26,13:33:00,0,23.4203,8.343
2016/07/26,13:34:00,0,23.4212,8.344
2016/07/26,13:35:00,0,23.4239,8.343
2016/07/26,13:36:00,0,23.4210,8.344
2016/07/26,13:37:00,0,23.4194,8.345
2016/07/26,13:38:00,0,23.4182,8.345
2016/07/26,13:39:00,0,23.4209,8.346
2016/07/26,13:40:00,0,23.4181,8.347
2016/07/26,13:41:00,0,23.4266,8.346
2016/07/26,13:42:00,0,23.4198,8.343
2016/07/26,13:43:00,0,23.4159,8.338
2016/07/26,13:44:00,0,23.4178,8.333
2016/07/26,13:45:00,0,23.4178,8.326
2016/07/26,13:46:00,0,23.4194,8.320
2016/07/26,13:47:00,0,23.4160,8.314
2016/07/26,13:48:00,0,23.4213,8.311
2016/07/26,13:49:00,0,23.4173,8.309
2016/07/26,13:50:00,0,23.4177,8.307
2016/07/26,13:51:00,0,23.4169,8.307
2016/07/26,13:52:00,0,23.4177,8.306
2016/07/26,13:53:00,0,23.4144,8.306
2016/07/26,13:54:00,0,23.4181,8.307
2016/07/26,13:55:00,0,23.4202,8.306
2016/07/26,13:56:00,0,23.4148,8.307
2016/07/26,13:57:00,0,23.4156,8.307
2016/07/26,13:58:00,0,23.4123,8.307
2016/07/26,13:59:00,0,23.4153,8.306
2016/07/26,14:00:00,0,23.4147,8.307
2016/07/26,14:01:00,0,23.4129,8.307
2016/07/26,14:02:00,0,23.4177,8.307
